classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,Std <= 755.98,0.7938243707392659,0.000210520775769,89,283
Class DoS/DDoS,ack_count > 1.5,0.79103616057595,0.0158811610220783,90,47
Class DoS/DDoS,psh_flag_number <= 0.25,0.7856398796456503,0.0831776356762541,91,5
Class DoS/DDoS,Std <= 1833.38,0.7843053013678585,0.0035613097900932,92,183
Class DoS/DDoS,Max > 1513.0,0.7835349327064425,0.0450339026165978,93,15
Class DoS/DDoS,Rate > 38.11,0.7832367791891581,0.006578774242783,94,104
Class DoS/DDoS,Tot sum <= 35426.0,0.7800094165991396,0.0095085217055691,95,82
Class DoS/DDoS,HTTPS > 0.35,0.7722527175350276,0.0321088041542766,96,25
Class DoS/DDoS,Max <= 1507.0,0.7702377037979774,0.0062629930791294,97,112
Class DoS/DDoS,Min > 57.5,0.768180262945309,0.0014473303334122,98,244
Class DoS/DDoS,AVG > 351.81,0.7677756896253823,0.0040130522880976,99,171
Class DoS/DDoS,DNS <= 0.09,0.7674890481953773,0.0123066936834995,100,59
Class DoS/DDoS,ack_flag_number > 0.95,0.7662414775174361,0.0,101,348
Class DoS/DDoS,rst_count <= 0.5,0.7654087149224327,0.0780549634658737,102,7
Class DoS/DDoS,AVG > 62.65,0.7616097651225608,0.0,103,348
Class DoS/DDoS,Variance > 396943.52,0.7611696331797986,0.0031972842819925,104,193
Class DoS/DDoS,IPv > 0.85,0.7572169020851468,0.0064735138548985,105,108
Class DoS/DDoS,Max > 153.5,0.7570806472223588,0.0111225143197986,106,71
Class DoS/DDoS,Std > 755.98,0.7565387344580973,0.0024604615668008,107,216
Class DoS/DDoS,ack_flag_number <= 0.95,0.7534631050548418,0.0003377104111295,108,279
Class DoS/DDoS,Number <= 12.0,0.7514972793014296,0.0128329956229222,109,56
Class DoS/DDoS,Tot size <= 92.6,0.7499151678068225,0.0025744936536757,110,214
Class DoS/DDoS,Std <= 222.26,0.7459044461237643,0.0120479285632834,111,62
Class DoS/DDoS,Max > 2874.0,0.7457887470155317,0.0059954562599229,112,118
Class DoS/DDoS,fin_count <= 1.5,0.7426709281865306,0.054963465873705,113,11
Class DoS/DDoS,Number <= 18.0,0.7422521312923791,0.0029385191617764,114,200
Class DoS/DDoS,UDP <= 1.0,0.7412404169039583,0.0118812662824662,115,66
Class DoS/DDoS,Time_To_Live > 62.65,0.7330466431747963,0.00836820083682,116,87
